category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,unit,inverter quantity
froniusDatamanager,10.100.17.168,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.2.161,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.5.162,502,32,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.1.164,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.1.165,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.3.163,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.3.164,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.5.165,502,15,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.101.1.168,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.101.2.162,502,17,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.106.3.168,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,172.27.29.161,502,15,40193,40241,40241,PV inverter state,1,
froniusDatamanager,172.27.29.162,502,15,40193,40241,40241,PV inverter state,1,
froniusDatamanager,172.27.30.168,502,16,40193,40241,40241,PV inverter state,1,
froniusDatamanager,10.100.21.168,502,20,40193,40241,40241,PV inverter state,1,
