category,ip,port,unit_id,register_status_addr,register_start_addr,register_stop_addr,register_name,scale,unit
sungrow,10.103.2.161,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.3.162,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.3.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.7.168,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.3.161,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.2.163,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.102.28.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.100.2.163,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.1.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.103.1.1,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.102.5.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.102.6.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.106.10.168,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.102.26.160,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.106.7.163,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.106.8.168,502,247,8067,8001,8001,PV inverter state,1,
sungrow,10.106.11.168,502,247,8067,8001,8001,PV inverter state,1,
