CN-448,Huawei,10.107.1.168
CP-328,Huawei,10.100.31.160
S-013,Huawei,10.100.7.161
S-014,Huawei,10.100.7.160
S-015,Huawei,10.102.19.160
S-017,Huawei,10.102.9.161
S-020,Huawei,10.102.2.160
S-022,Huawei,10.100.12.162
S-023,Huawei,10.100.12.163
S-024,Huawei,10.100.13.168
S-025,Huawei,10.102.20.160
S-027,Huawei,10.100.14.160
S-028,Huawei,10.100.15.168
S-037,Huawei,10.100.19.160
S-038,Huawei,10.100.18.168
S-039,Huawei,10.100.16.160
S-046,Huawei,10.100.19.161
S-047,Huawei,10.100.20.167
S-048,Huawei,10.100.20.168
S-049,Huawei,10.100.20.169
S-051,Huawei,10.101.2.161
S-061,Huawei,10.100.21.160
S-062,Huawei,10.100.21.162
S-072,Huawei,10.102.15.160
S-073,Huawei,10.102.12.160
S-074,Huawei,10.102.16.160
S-075,Huawei,10.102.7.160
S-078,Huawei,10.102.17.160
S-079,Huawei,10.102.9.160
S-096,Huawei,10.102.3.160
S-097,Huawei,10.102.18.160
S-100,Huawei,10.102.4.160
S-109,Huawei,172.27.28.161
S-110,Huawei,172.27.28.162
S-125,Huawei,10.100.34.160
S-127,Huawei,10.102.30.160
S-152,Huawei,10.100.43.160
S-201,Huawei,10.102.41.160
S-202,Huawei,10.102.10.160
S-203,Huawei,10.102.14.160
S-204,Huawei,10.102.13.160
S-205,Huawei,10.102.1.160
S-208,Huawei,10.102.24.160
S-209,Huawei,10.102.29.160
S-227,Huawei,10.102.42.160
S-920,Huawei,10.106.2.168
V-001,Huawei,10.102.43.168
V-005,Huawei,10.102.44.168
V-011,Huawei,10.102.49.160
V-012,Huawei,10.102.50.168
V-013,Huawei,10.102.51.160
